id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_14d_in_currency,price_change_percentage_1h_in_currency,price_change_percentage_1y_in_currency,price_change_percentage_200d_in_currency,price_change_percentage_24h_in_currency,price_change_percentage_30d_in_currency,price_change_percentage_7d_in_currency,created_date
compound-usd-coin,cusdc,cUSDC,https://assets.coingecko.com/coins/images/9442/large/Compound_USDC.png?1567581577,0.02195824,3575577515.0,31.0,,410965692.0,0.02226219,0.02132434,-0.00015453,-0.69883,387378529.0,12.15039,162835368030.851,162835368030.851,,0.058843,-62.68361,2020-10-21T11:24:27.820Z,0.00620705,253.76259,2021-03-04T08:11:37.438Z,,2021-06-08T03:42:50.463Z,-0.16811687217924282,0.5348777155876041,4.366085641372886,3.5640838025468913,-0.6988342784390722,0.03939936902523065,-0.3437273863496286,2021-06-07 21:14:19
cdai,cdai,cDAI,https://assets.coingecko.com/coins/images/9281/large/cDAI.png?1576467585,0.02153419,3481440791.0,32.0,,119356273.0,0.02161033,0.02140174,4.815e-05,0.22411,126091185.0,3.75791,161670396994.503,161670396994.503,,0.03159087,-31.83413,2020-10-12T21:29:00.007Z,0.00728854,195.45255,2020-03-18T04:29:40.819Z,,2021-06-08T03:58:31.902Z,0.4462465885222035,0.3303035814624359,5.039793411249915,3.6237202485760034,0.22410736017110422,0.5555762269667374,0.2374462209856467,2021-06-07 21:14:19
neo,neo,NEO,https://assets.coingecko.com/coins/images/480/large/NEO_512_512.png?1594357361,49.01,3456298955.0,33.0,,497726237.0,58.06,47.9,-8.93205358,-15.41455,-632434669.7655964,-15.46774,70530000.0,100000000.0,,198.38,-75.38979,2018-01-15T00:00:00.000Z,0.078349,62213.26964,2016-10-21T00:00:00.000Z,"{'times': 1360.4878175614258, 'currency': 'usd', 'percentage': 136048.7817561426}",2021-06-08T04:13:10.886Z,-8.827314731829878,1.3038605333983913,316.79044549018045,205.19227525976805,-15.414546177384853,-57.89953170139432,-11.951940707601008,2021-06-07 21:14:19
compound-ether,ceth,cETH,https://assets.coingecko.com/coins/images/10643/large/ceth2.JPG?1581389598,50.22,3359068858.0,34.0,,6952072.0,56.87,49.73,-5.36536479,-9.65199,-344285697.62094164,-9.29659,66883352.4055688,66883352.4055688,,87.15,-42.51873,2021-05-12T14:49:23.076Z,1.89,2555.61512,2020-03-13T02:22:33.711Z,,2021-06-08T04:07:17.532Z,-4.821916785599725,0.997887961076354,926.6839744845413,432.1785151094689,-9.651992197376009,-35.58687688190582,-7.43699917450724,2021-06-07 21:14:19
kusama,ksm,Kusama,https://assets.coingecko.com/coins/images/9568/large/m4zRhP5e_400x400.jpg?1576190080,372.19,3333544097.0,35.0,3712146648.0,370575952.0,439.86,360.36,-61.56078588,-14.19271,-575217247.5986266,-14.7161,8980098.074112339,10000000.0,10000000.0,621.71,-40.614,2021-05-18T05:04:41.858Z,0.876572,42019.25992,2020-01-14T19:20:20.768Z,,2021-06-08T04:12:29.355Z,7.582224886101997,1.8879159755353838,6644.596118973201,959.1854140109676,-14.19271148311157,-14.490079227547842,0.22424764090545543,2021-06-07 21:14:19
cosmos,atom,Cosmos,https://assets.coingecko.com/coins/images/1481/large/cosmos_hub.png?1555657960,13.11,3128741425.0,36.0,,570119355.0,15.77,12.63,-2.46183206,-15.80527,-590288628.7399068,-15.87211,238526146.88641,,,31.7,-58.821,2021-05-07T16:18:33.469Z,1.16,1025.33424,2020-03-13T02:27:44.591Z,"{'times': 130.1418974193459, 'currency': 'usd', 'percentage': 13014.18974193459}",2021-06-08T04:13:38.530Z,-8.406066650653777,3.7082648837359407,334.2224236704414,157.63711232264023,-15.805268429656858,-55.32706553035269,-5.791250893978438,2021-06-07 21:14:19
celsius-degree-token,cel,Celsius Network,https://assets.coingecko.com/coins/images/3263/large/CEL_logo.png?1609598753,7.35,3106884356.0,37.0,,24157761.0,7.77,7.29,-0.39332088,-5.07636,-177123443.58480456,-5.39351,423415980.3475,695658160.9671,,8.05,-8.73529,2021-06-04T00:04:12.584Z,0.02620268,27927.94482,2018-12-07T00:00:00.000Z,"{'times': 23.515904356560814, 'currency': 'usd', 'percentage': 2351.5904356560814}",2021-06-08T04:12:22.576Z,7.68902018518037,0.45980682471644574,2874.073419691213,257.9433711257336,-5.0763578098693145,3.1854571703560217,1.1449369682601755,2021-06-07 21:14:19
pancakeswap-token,cake,PancakeSwap,https://assets.coingecko.com/coins/images/12632/large/IMG_0440.PNG?1602654093,16.5,3019288882.0,38.0,,442832375.0,20.2,15.97,-2.94000692,-15.12244,-456611527.8557696,-13.1365,183114280.845897,,,43.96,-62.79,2021-04-30T10:08:22.934Z,0.194441,8313.48782,2020-11-03T14:29:34.165Z,,2021-06-08T04:13:28.324Z,-6.439908963918057,1.0601820717854138,,4656.1206272508525,-15.122436609036413,-55.171056284784825,-8.106781054806735,2021-06-07 21:14:19
bitcoin-cash-sv,bsv,Bitcoin SV,https://assets.coingecko.com/coins/images/6799/large/BSV.png?1558947902,158.13,2965482174.0,39.0,,836279407.0,179.75,155.02,-21.47565374,-11.95735,-414220282.79622126,-12.25612,18754370.394239,21000000.0,,489.75,-67.87864,2021-04-16T17:09:04.630Z,42.02,274.40436,2018-11-23T00:00:00.000Z,,2021-06-08T04:13:09.656Z,-11.402208964279477,-0.8952718517068697,-17.848188152383003,-2.102893051362627,-11.957351882055887,-56.7040743803481,-9.581156285851836,2021-06-07 21:14:19
iota,miota,IOTA,https://assets.coingecko.com/coins/images/692/large/IOTA_Swirl.png?1604238557,1.06,2948461665.0,40.0,,131684079.0,1.32,1.02,-0.22035339,-17.17428,-624728958.6178837,-17.48378,2779530283.277761,2779530283.0,,5.25,-79.90791,2017-12-19T00:00:00.000Z,0.081637,1191.79752,2020-03-13T02:22:41.168Z,"{'times': 23.05531977603308, 'currency': 'btc', 'percentage': 2305.5319776033084}",2021-06-08T04:13:17.234Z,0.5014257903260402,1.9062125779558594,342.72105209003854,319.97967617080826,-17.17427662221136,-50.693273481644276,-3.7490095750095946,2021-06-07 21:14:19
maker,mkr,Maker,https://assets.coingecko.com/coins/images/1364/large/Mark_Maker.png?1585191826,3221.25,2904077418.0,41.0,3240028834.0,182832281.0,3810.11,3127.08,-474.05463712,-12.82857,-432910503.90209675,-12.97309,901310.9472893132,991477.313745855,1005577.0,6292.31,-49.09892,2021-05-03T21:54:29.333Z,168.36,1802.41278,2020-03-16T20:52:36.527Z,,2021-06-08T04:13:12.459Z,-22.85820120188859,1.7713818823278085,493.8879128108166,532.687403681566,-12.828571824317104,-42.66175606992647,-10.22015934341736,2021-06-07 21:14:19
